Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-avoiding	11	114162051	272157524	332322821	44091601	24693896	23025824	24709172	4212787	9	93045047	952208	47474718	1037122	952204	45570272
SV	Branch-avoiding	12	114083851	272163789	332322822	44154420	24705481	23003056	24663088	4212762	4	93045050	952208	47474717	1037148	952204	45570272
SV	Branch-avoiding	13	114121231	272284092	332322821	44065353	24684972	23013256	24674474	4213077	5	93045047	952208	47474718	1037140	952204	45570272
SV	Branch-avoiding	14	114040041	272217697	332322822	44073352	24668912	23007680	24668613	4212587	4	93045053	952208	47474718	1037286	952204	45570272
SV	Branch-avoiding	15	114124781	272191579	332322821	44106674	24712697	23025277	24698329	4212754	5	93045050	952208	47474718	1037158	952204	45570272
SV	Branch-avoiding	16	114056150	272129776	332322822	44081436	24696227	22997894	24711742	4212653	8	93045047	952208	47474718	1037124	952204	45570272
SV	Branch-avoiding	17	114101291	272208265	332322821	44099092	24742727	23018490	24679055	4212806	5	93045050	952208	47474717	1037111	952204	45570272
SV	Branch-avoiding	18	114051771	272136566	332322822	44107376	24672937	23009800	24675551	4212748	2	93045047	952208	47474719	1037186	952204	45570272
SV	Branch-avoiding	19	114106011	272200583	332322823	44087103	24702696	23008677	24711922	4212963	4	93045050	952208	47474717	1037123	952204	45570272
SV	Branch-avoiding	20	114086331	272264008	332322821	44032762	24711626	23016677	24699024	4212901	5	93045047	952208	47474718	1037153	952204	45570272
SV	Branch-avoiding	21	114082700	272144364	332322822	44065984	24662558	23042913	24667562	4212923	4	93045050	952208	47474718	1037122	952204	45570272
SV	Branch-avoiding	22	114063901	272261996	332322821	44052903	24671179	23028401	24719678	4212929	4	93045050	952208	47474717	1037147	952204	45570272
SV	Branch-avoiding	23	114123091	272198526	332322822	44105784	24698907	23046645	24690765	4212408	4	93045050	952208	47474718	1037149	952204	45570272
SV	Branch-avoiding	24	114037691	272295220	332322822	44006551	24704363	23031607	24658240	4212800	7	93045050	952208	47474717	1037160	952204	45570272
SV	Branch-avoiding	25	114069530	272250209	332322822	44085964	24695587	23008332	24685945	4212977	7	93045047	952208	47474718	1037150	952204	45570272
SV	Branch-avoiding	26	114038491	272120702	332322822	44088333	24696542	23026572	24641457	4212776	8	93045050	952208	47474717	1037168	952204	45570272
SV	Branch-avoiding	27	114112891	272215517	332322821	44079324	24710277	23015354	24676336	4213027	6	93045047	952208	47474718	1037123	952204	45570272
