Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	6	31970	75071	82957	303	17368	13773	17170	423	120	14029	13581	7090	200	147	6787
BFS/TD	Branch-avoiding	7	38660	90630	102879	73	18460	15166	18264	501	79	17396	16843	8791	246	182	8418
BFS/TD	Branch-avoiding	8	47510	112259	123389	192	25628	19872	25078	642	167	20861	20203	10541	293	217	10098
BFS/TD	Branch-avoiding	9	50071	120787	135107	17	25482	22109	25789	699	142	22842	22121	11542	323	238	11057
BFS/TD	Branch-avoiding	10	52950	127522	144931	166	26578	20663	24009	679	151	24498	23735	12377	340	252	11864
BFS/TD	Branch-avoiding	11	57980	136885	158399	296	26045	20387	26304	730	126	26780	25933	13532	378	280	12963
BFS/TD	Branch-avoiding	12	64580	154777	178493	499	27544	21133	29526	820	145	30157	29247	15231	405	301	14620
BFS/TD	Branch-avoiding	13	77650	186900	218767	480	35366	26877	34479	1023	214	36972	35831	18677	508	378	17912
BFS/TD	Branch-avoiding	14	92191	220591	257305	920	41123	31343	38867	1177	206	43479	42149	21962	592	441	21071
BFS/TD	Branch-avoiding	15	106990	256723	299931	1161	44412	35555	45111	1346	272	50686	49125	25604	700	518	24559
BFS/TD	Branch-avoiding	16	133011	319573	379619	503	55316	44320	53706	1672	319	64154	62173	32408	890	658	31083
BFS/TD	Branch-avoiding	17	149400	358124	424009	1234	62280	48178	59717	1841	303	71655	69443	36197	989	735	34718
BFS/TD	Branch-avoiding	18	163741	396824	471797	1576	65833	49177	64687	2063	349	79713	77291	40261	1086	805	38642
BFS/TD	Branch-avoiding	19	197440	469247	549735	1572	85438	63598	84295	2395	405	92880	90059	46911	1268	938	45026
BFS/TD	Branch-avoiding	20	252731	607413	701103	1138	118391	86481	118043	3119	599	118444	114867	59819	1607	1190	57430
BFS/TD	Branch-avoiding	21	321931	779835	891506	1113	149227	112945	146109	3917	652	150635	146029	76086	2067	1533	73011
BFS/TD	Branch-avoiding	22	429852	972124	1124167	4564	189542	143576	181012	4907	857	189944	184141	95940	2599	1932	92067
BFS/TD	Branch-avoiding	23	505411	1210354	1399093	3859	243417	170752	228818	6118	1043	236409	229157	119414	3256	2415	114575
BFS/TD	Branch-avoiding	24	564342	1355363	1532549	5545	274010	209759	278867	6701	1138	258972	251003	130813	3579	2653	125498
BFS/TD	Branch-avoiding	25	582032	1392625	1591069	4906	279908	207436	277182	6951	1369	268853	260593	135805	3692	2751	130293
BFS/TD	Branch-avoiding	26	592782	1431299	1633779	3225	297787	203550	292159	7104	1135	276074	267583	139453	3830	2828	133788
BFS/TD	Branch-avoiding	27	599752	1437801	1621357	6254	311201	224368	300904	7076	1224	273957	265571	138377	3765	2793	132782
BFS/TD	Branch-avoiding	28	626092	1510727	1693778	5384	322438	229843	326626	7381	1249	286139	277501	144510	3882	2877	138747
BFS/TD	Branch-avoiding	29	690233	1633559	1806643	5164	361418	254278	348971	7980	1297	305258	295927	154185	4183	3108	147960
BFS/TD	Branch-avoiding	30	671602	1608989	1778689	6387	366656	259154	365933	7915	1268	300518	291373	151782	4104	3045	145683
BFS/TD	Branch-avoiding	31	694152	1671268	1859567	5765	370936	254430	367434	8266	1509	314172	304631	158678	4288	3178	152312
BFS/TD	Branch-avoiding	32	720273	1727109	1895179	6003	392315	272635	394848	8331	1505	320182	310473	161710	4353	3234	155233
BFS/TD	Branch-avoiding	33	731612	1772367	1937935	8443	408257	273269	404501	8546	1428	327420	317459	165371	4477	3318	158726
BFS/TD	Branch-avoiding	34	771673	1867376	2026644	5154	444787	297498	440845	9092	1527	342354	332057	172894	4616	3430	166025
BFS/TD	Branch-avoiding	35	872282	1981929	2147581	7411	468381	313526	460185	9545	1655	362837	351805	183258	4949	3675	175899
