Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	114	847813	3069381	3145253	1515	0	989659	46430	0	883287	15919	9058	432581
BFS/TD	Branch-based	115	862029	2895641	3089323	1136	0	973806	46831	0	867583	15528	8855	424932
BFS/TD	Branch-based	116	863463	3040395	3021990	346	0	954016	43108	0	848898	14830	8736	415708
BFS/TD	Branch-based	117	770802	2794988	2835314	578	0	895539	42375	0	796221	14683	8211	389895
BFS/TD	Branch-based	118	772506	2647247	2804963	1565	0	887838	43653	0	787417	14652	7966	385738
BFS/TD	Branch-based	119	812756	2847906	2907883	392	0	918366	43680	0	816499	14595	8365	399880
BFS/TD	Branch-based	120	804868	2889437	2916395	1459	0	915330	43835	0	818758	14695	8344	401030
BFS/TD	Branch-based	121	823591	2865246	2985716	1127	0	940898	45787	0	838137	15241	8568	410496
BFS/TD	Branch-based	122	831621	2911497	3062394	1214	0	965923	44508	0	860039	15407	8841	421174
BFS/TD	Branch-based	123	792209	2823541	2994103	402	0	947820	46040	0	840683	15547	8575	411762
BFS/TD	Branch-based	124	803703	2845271	2988348	612	0	933597	41913	0	839579	14964	8659	411126
BFS/TD	Branch-based	125	724749	2552661	2750320	628	0	863482	39301	0	772580	14104	7945	378340
BFS/TD	Branch-based	126	723496	2653219	2600779	1202	0	818307	37501	0	730561	13283	7483	357793
BFS/TD	Branch-based	127	652311	2332855	2482073	559	0	781910	36401	0	697185	12270	7119	341469
BFS/TD	Branch-based	128	635123	2277026	2384151	522	0	746693	35847	0	669549	12101	6853	327917
BFS/TD	Branch-based	129	624254	2371274	2342430	241	0	735424	34833	0	657887	11798	6720	322219
BFS/TD	Branch-based	130	630318	2152248	2284729	223	0	722611	35162	0	641521	11497	6552	314204
BFS/TD	Branch-based	131	613901	2121240	2297175	201	0	723058	36274	0	644951	11687	6580	315891
BFS/TD	Branch-based	132	648929	2288601	2296328	801	0	718634	34325	0	644776	12005	6699	315684
BFS/TD	Branch-based	133	602233	2189608	2244262	308	0	701390	33859	0	630223	11321	6503	308604
BFS/TD	Branch-based	134	570908	2106922	2191328	212	0	689755	32934	0	615477	11125	6321	301413
BFS/TD	Branch-based	135	614430	2010519	2118333	259	0	669938	32512	0	594747	10859	6062	291307
BFS/TD	Branch-based	136	568827	2022958	2150070	381	0	680430	32924	0	603689	11135	6174	295666
BFS/TD	Branch-based	137	579786	2070015	2166954	214	0	679903	33460	0	608393	11329	6209	297983
BFS/TD	Branch-based	138	573421	2169588	2198496	333	0	695019	33577	0	617214	11341	6314	302288
BFS/TD	Branch-based	139	591625	2165007	2238956	371	0	711139	34802	0	628581	11804	6433	307853
BFS/TD	Branch-based	140	599993	2150265	2295523	510	0	726836	36090	0	644359	11531	6538	315637
BFS/TD	Branch-based	141	622850	2259199	2396786	490	0	757632	37102	0	672877	12467	6881	329553
BFS/TD	Branch-based	142	634237	2285929	2448991	588	0	773295	37339	0	687577	12797	7021	336763
BFS/TD	Branch-based	143	653462	2322581	2488156	690	0	786605	37041	0	698749	12961	7133	342237
BFS/TD	Branch-based	144	639712	2360345	2449775	310	0	774993	37259	0	687970	12774	7042	336938
BFS/TD	Branch-based	145	674038	2346806	2421495	295	0	768341	38472	0	679835	12615	6916	332997
BFS/TD	Branch-based	146	668136	2370228	2477138	408	0	781952	38488	0	695613	12417	7105	340697
BFS/TD	Branch-based	147	696646	2417050	2461998	197	0	780315	37586	0	691203	12896	7056	338541
BFS/TD	Branch-based	148	660585	2371822	2510325	536	0	794256	37956	0	704825	12972	7203	345205
BFS/TD	Branch-based	149	729960	2321558	2535910	729	0	800209	36401	0	712273	12921	7273	348859
BFS/TD	Branch-based	150	681175	2517354	2450076	244	0	765446	36201	0	688068	12712	7042	336987
BFS/TD	Branch-based	151	655449	2354261	2404975	437	0	758835	34919	0	675523	12087	6902	330855
BFS/TD	Branch-based	152	649443	2208628	2322788	278	0	733843	33760	0	652395	11944	6643	319550
BFS/TD	Branch-based	153	601000	2110089	2251683	432	0	710550	32639	0	632403	11314	6489	309708
BFS/TD	Branch-based	154	564662	1990007	2177720	298	0	685307	30350	0	611823	11051	6265	299642
BFS/TD	Branch-based	155	532541	1884941	2039078	223	0	645062	29566	0	572721	10268	5845	280511
BFS/TD	Branch-based	156	535319	1942506	1971367	163	0	617539	28403	0	553807	9934	5670	271229
BFS/TD	Branch-based	157	491538	1850159	1867508	196	0	587313	27348	0	524506	9330	5341	256907
BFS/TD	Branch-based	158	468118	1681714	1809198	413	0	567946	23885	0	508433	8970	5236	248976
BFS/TD	Branch-based	159	439898	1484244	1626050	510	0	508581	22267	0	456885	7858	4655	223783
BFS/TD	Branch-based	160	416977	1410782	1517466	127	0	476541	21967	0	426113	7595	4326	208726
BFS/TD	Branch-based	161	384810	1421244	1503753	203	0	474238	21750	0	422291	7740	4361	206780
BFS/TD	Branch-based	162	386391	1330967	1476951	280	0	463644	21385	0	414843	7542	4214	203203
BFS/TD	Branch-based	163	357254	1259678	1423127	370	0	448663	19604	0	399849	7085	4116	195804
BFS/TD	Branch-based	164	328637	1203498	1309573	453	0	411665	17753	0	367999	6491	3766	180229
BFS/TD	Branch-based	165	307098	1080390	1192281	365	0	375058	16550	0	334973	5993	3423	164059
BFS/TD	Branch-based	166	288714	1016859	1105943	45	0	347817	15134	0	310767	5450	3199	152180
BFS/TD	Branch-based	167	281078	986891	1017064	108	0	317716	14991	0	285679	5057	2884	139951
BFS/TD	Branch-based	168	276461	987213	994342	303	0	310667	15035	0	279212	5184	2842	136759
BFS/TD	Branch-based	169	271252	895582	989764	165	0	310934	14467	0	278035	5099	2856	136157
BFS/TD	Branch-based	170	245475	833512	939672	30	0	295420	12386	0	264119	4628	2688	129367
BFS/TD	Branch-based	171	212146	719768	827294	40	0	260594	10787	0	232563	4058	2394	113883
BFS/TD	Branch-based	172	189165	603168	703429	52	0	219060	8871	0	197773	3379	2044	96838
BFS/TD	Branch-based	173	144152	565890	587621	56	0	182421	7316	0	165237	2767	1694	80920
BFS/TD	Branch-based	174	114575	468327	481207	90	0	150084	5206	0	135445	2148	1400	66318
BFS/TD	Branch-based	175	76937	311079	334662	2	0	102258	1854	0	94481	1279	980	46256
BFS/TD	Branch-based	176	24154	107345	113721	0	0	34482	284	0	32153	389	343	15729
BFS/TD	Branch-based	177	3093	14824	14937	0	0	4511	14	0	4223	52	49	2058
BFS/TD	Branch-avoiding	0	726	2243	425	0	0	92	78	0	42	5	1	31
BFS/TD	Branch-avoiding	1	3253	10755	14513	122	0	2623	2470	0	1251	35	31	1180
BFS/TD	Branch-avoiding	2	5684	19973	30153	0	0	5379	5119	0	2587	62	59	2460
BFS/TD	Branch-avoiding	3	8343	28317	44275	0	0	7862	7471	0	3793	87	84	3616
BFS/TD	Branch-avoiding	4	9076	31935	50729	0	0	8969	8539	0	4339	94	91	4148
