Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	134	777379	1307612	2191329	47036	9	0	14262	9732	615477	7222	6321	301413
BFS/TD	Branch-based	135	737899	1270637	2118332	44189	4	47	14042	10182	594748	6948	6062	291307
BFS/TD	Branch-based	136	759075	1296417	2150070	45675	0	0	13781	9907	603689	7098	6174	295666
BFS/TD	Branch-based	137	769782	1314307	2166954	47239	14	4	14626	10728	608393	7172	6209	297983
BFS/TD	Branch-based	138	769440	1329950	2198496	45971	53	0	14117	9934	617213	7261	6314	302288
BFS/TD	Branch-based	139	780178	1337324	2238957	47730	6	21	14582	10249	628581	7398	6433	307853
BFS/TD	Branch-based	140	818301	1369428	2295523	52396	9	0	15441	10962	644360	7540	6538	315637
BFS/TD	Branch-based	141	848407	1438658	2396785	53197	13	0	14437	10453	672877	7947	6881	329553
BFS/TD	Branch-based	142	860549	1481856	2448991	51849	10	3	15618	11078	687577	8066	7021	336763
BFS/TD	Branch-based	143	867131	1500347	2488156	59411	13	0	15545	11799	698749	8180	7133	342237
BFS/TD	Branch-based	144	873319	1483201	2449776	52827	0	0	15264	11529	687969	8108	7042	336938
BFS/TD	Branch-based	145	854205	1453720	2421495	57834	18	0	15880	11831	679836	7969	6916	332997
BFS/TD	Branch-based	146	890664	1517217	2477138	58074	0	0	15795	12026	695613	8181	7105	340697
BFS/TD	Branch-based	147	871739	1492068	2461997	59305	32	17	15979	11671	691203	8135	7056	338541
BFS/TD	Branch-based	148	885212	1512656	2510326	61717	58	53	16616	12254	704825	8266	7203	345205
BFS/TD	Branch-based	149	906373	1519276	2535910	54998	137	0	16006	12216	712274	8293	7273	348859
BFS/TD	Branch-based	150	879224	1485108	2450076	58011	32	9	16936	12377	688067	8093	7042	336987
BFS/TD	Branch-based	151	854919	1455504	2404975	54909	21	112	15488	11687	675523	7887	6902	330855
BFS/TD	Branch-based	152	813807	1391847	2322788	49468	12	0	15205	10905	652395	7644	6643	319550
BFS/TD	Branch-based	153	784894	1353102	2251683	49929	39	23	14044	10036	632403	7432	6489	309708
BFS/TD	Branch-based	154	769235	1293480	2177720	46306	1	0	13842	10087	611824	7143	6265	299642
BFS/TD	Branch-based	155	711490	1219474	2039078	41971	4	24	12829	9255	572721	6713	5845	280511
BFS/TD	Branch-based	156	688113	1173300	1971367	39466	15	2	11989	8355	553807	6453	5670	271229
BFS/TD	Branch-based	157	643428	1097253	1867508	39704	0	65	11022	7510	524505	6127	5341	256907
BFS/TD	Branch-based	158	617931	1061336	1809199	37096	92	53	10599	7299	508433	5941	5236	248976
BFS/TD	Branch-based	159	553714	956870	1626050	32344	10	0	10339	6519	456885	5327	4655	223783
BFS/TD	Branch-based	160	533890	891680	1517466	27378	9	0	9744	6357	426114	4997	4326	208726
BFS/TD	Branch-based	161	517256	888600	1503753	31190	21	12	9518	6507	422291	4995	4361	206780
BFS/TD	Branch-based	162	508344	872469	1476950	27628	0	0	9561	6030	414843	4828	4214	203203
BFS/TD	Branch-based	163	491472	843482	1423127	25384	1	0	8655	5497	399849	4691	4116	195804
BFS/TD	Branch-based	164	446475	758896	1309573	22799	0	0	8193	4841	367999	4293	3766	180229
BFS/TD	Branch-based	165	406524	693714	1192281	21546	7	0	7401	4726	334973	3905	3423	164059
BFS/TD	Branch-based	166	376881	642105	1105944	20522	0	0	6720	4149	310767	3660	3199	152180
BFS/TD	Branch-based	167	346780	597906	1017064	20338	10	0	7434	4627	285679	3289	2884	139951
BFS/TD	Branch-based	168	336073	583964	994342	18483	17	0	6588	3917	279212	3278	2842	136759
BFS/TD	Branch-based	169	353916	581349	989764	17706	22	0	6767	4002	278035	3257	2856	136157
BFS/TD	Branch-based	170	314748	544767	939672	15665	7	0	5993	3659	264119	3040	2688	129367
BFS/TD	Branch-based	171	275514	470075	827294	12545	13	0	4904	2890	232563	2704	2394	113883
BFS/TD	Branch-based	172	235565	406071	703429	8831	13	0	4665	2471	197773	2296	2044	96838
BFS/TD	Branch-based	173	195126	333694	587621	6393	5	0	3712	1949	165237	1907	1694	80920
BFS/TD	Branch-based	174	159631	269892	481207	5432	23	0	2852	1460	135445	1558	1400	66318
BFS/TD	Branch-based	175	107597	182907	334662	2418	0	0	2080	936	94481	1034	980	46256
BFS/TD	Branch-based	176	36525	61498	113721	1017	0	0	490	350	32153	353	343	15729
BFS/TD	Branch-based	177	4564	8343	14937	4	0	0	28	23	4223	51	49	2058
BFS/TD	Branch-avoiding	0	1030	1910	425	1498	0	0	25	23	42	4	1	31
BFS/TD	Branch-avoiding	1	5482	9930	14513	3159	0	0	94	94	1251	23	31	1180
BFS/TD	Branch-avoiding	2	10978	17659	30153	4743	0	0	115	114	2587	57	59	2460
BFS/TD	Branch-avoiding	3	14583	23912	44275	5738	0	0	175	175	3793	82	84	3616
BFS/TD	Branch-avoiding	4	16050	27594	50729	6410	0	85	211	209	4339	90	91	4148
BFS/TD	Branch-avoiding	5	19639	33226	63035	7691	0	0	216	217	5389	106	112	5156
BFS/TD	Branch-avoiding	6	26628	44361	82957	10365	0	0	318	313	7090	145	147	6787
BFS/TD	Branch-avoiding	7	32760	54578	102879	12492	0	0	393	390	8791	176	182	8418
BFS/TD	Branch-avoiding	8	39936	65854	123389	15350	0	0	499	489	10541	219	217	10098
BFS/TD	Branch-avoiding	9	43686	72945	135107	17543	0	0	536	522	11542	240	238	11057
BFS/TD	Branch-avoiding	10	43963	75295	144931	14928	0	0	528	448	12377	253	252	11864
BFS/TD	Branch-avoiding	11	48331	82172	158399	16264	0	0	501	508	13532	276	280	12963
BFS/TD	Branch-avoiding	12	54751	93354	178493	19237	0	0	587	448	15231	295	301	14620
BFS/TD	Branch-avoiding	13	66849	111960	218767	23235	0	0	632	525	18677	375	378	17912
BFS/TD	Branch-avoiding	14	77751	131684	257305	26470	0	134	759	592	21962	435	441	21071
BFS/TD	Branch-avoiding	15	91347	153158	299931	29600	0	0	818	616	25604	511	518	24559
BFS/TD	Branch-avoiding	16	113262	193830	379620	35566	0	254	780	644	32408	647	658	31083
BFS/TD	Branch-avoiding	17	126421	213318	424009	40564	0	0	956	579	36197	725	735	34718
BFS/TD	Branch-avoiding	18	138297	239138	471797	45402	0	0	1147	649	40261	794	805	38642
BFS/TD	Branch-avoiding	19	165781	282190	549735	54052	0	10	1689	938	46911	928	938	45026
BFS/TD	Branch-avoiding	20	214379	365401	701103	77462	0	411	2262	1398	59819	1179	1190	57430
BFS/TD	Branch-avoiding	21	272933	465672	891505	98786	0	286	2920	1792	76086	1511	1533	73011
BFS/TD	Branch-avoiding	22	339951	580482	1124167	111494	0	383	3215	2004	95940	1903	1932	92067
BFS/TD	Branch-avoiding	23	440154	714556	1399093	136257	0	433	3652	2057	119414	2409	2415	114575
BFS/TD	Branch-avoiding	24	474091	779314	1532549	148541	0	209	4667	2656	130813	2640	2653	125498
BFS/TD	Branch-avoiding	25	487162	812623	1591069	155172	0	238	4663	2572	135804	2711	2751	130293
BFS/TD	Branch-avoiding	26	503743	835333	1633779	160144	0	210	4785	3019	139453	2806	2828	133788
BFS/TD	Branch-avoiding	27	508524	844122	1621357	168930	0	1330	5007	3107	138377	2775	2793	132782
BFS/TD	Branch-avoiding	28	530687	880656	1693778	175018	0	80	5052	3131	144510	2875	2877	138747
BFS/TD	Branch-avoiding	29	562250	942704	1806643	182075	0	68	5484	3115	154186	3109	3108	147960
BFS/TD	Branch-avoiding	30	536151	915759	1778689	178674	0	82	5466	3174	151782	3040	3045	145683
BFS/TD	Branch-avoiding	31	572754	952925	1859567	182756	0	957	5223	2920	158677	3180	3178	152312
BFS/TD	Branch-avoiding	32	570725	973189	1895179	189899	0	48	5692	3337	161710	3228	3234	155233
BFS/TD	Branch-avoiding	33	583871	1000031	1937935	198229	0	1141	5761	3555	165371	3316	3318	158726
BFS/TD	Branch-avoiding	34	621342	1054522	2026643	209083	0	893	6650	4009	172894	3424	3430	166025
BFS/TD	Branch-avoiding	35	655380	1114759	2147582	219141	0	174	6791	4357	183258	3672	3675	175899
BFS/TD	Branch-avoiding	36	684824	1166229	2259669	225358	0	958	7316	4430	192812	3852	3857	185088
BFS/TD	Branch-avoiding	37	717671	1195508	2312925	237230	0	15	7326	4562	197396	3979	3983	189421
BFS/TD	Branch-avoiding	38	674103	1155777	2263141	223526	0	1353	6903	4178	193133	3882	3885	185354
BFS/TD	Branch-avoiding	39	652591	1111876	2151743	218570	6	79	6940	4225	183662	3686	3724	176205
BFS/TD	Branch-avoiding	40	632258	1079932	2055773	224515	0	1418	7154	4503	175395	3483	3493	168400
BFS/TD	Branch-avoiding	41	665537	1139110	2152718	237498	14	41	7991	4684	183687	3672	3675	176327
BFS/TD	Branch-avoiding	42	729460	1242931	2365447	261434	0	104	7901	5446	201830	4032	4032	193757
BFS/TD	Branch-avoiding	43	789103	1327245	2529827	273013	0	1093	8762	5305	215855	4309	4312	207222
BFS/TD	Branch-avoiding	44	837107	1431661	2747535	296287	0	413	8796	5685	234422	4670	4676	225061
BFS/TD	Branch-avoiding	45	893045	1526159	2928969	299900	0	1029	8895	5680	249958	5023	5033	239883
BFS/TD	Branch-avoiding	46	915937	1554227	2988088	315324	78	1340	9066	6039	254959	5088	5096	244757
BFS/TD	Branch-avoiding	47	924715	1585959	3055543	318421	1	1283	9498	6133	260759	5243	5250	250250
BFS/TD	Branch-avoiding	48	924507	1554586	2985407	314338	0	1281	9336	5902	254751	5106	5110	244522
BFS/TD	Branch-avoiding	49	915309	1566205	3003321	327779	0	1598	9972	6864	256252	5114	5117	246009
BFS/TD	Branch-avoiding	50	932934	1587757	3001530	329422	0	893	9837	6696	256120	5127	5131	245848
BFS/TD	Branch-avoiding	51	919298	1566929	2959977	333477	47	158	10174	6909	252542	5028	5033	242467
BFS/TD	Branch-avoiding	52	994244	1669263	3192129	349795	0	334	9952	6774	272378	5449	5453	261463
BFS/TD	Branch-avoiding	53	1037207	1771997	3382701	369663	0	229	10505	7232	288651	5788	5789	277064
BFS/TD	Branch-avoiding	54	1077685	1844113	3488664	384151	0	606	10683	7757	297670	5948	5950	285760
BFS/TD	Branch-avoiding	55	1119889	1904376	3624027	403907	0	428	11939	7971	309227	6178	6188	296842
BFS/TD	Branch-avoiding	56	1139467	1924173	3643133	416854	98	1835	11669	7924	310909	6257	6265	298370
BFS/TD	Branch-avoiding	57	1116816	1901602	3587915	409477	0	91	11754	8503	306185	6155	6160	293856
BFS/TD	Branch-avoiding	58	1086768	1852205	3498474	393745	0	1180	11739	7637	298512	5975	5971	286560
BFS/TD	Branch-avoiding	59	1071487	1805563	3411771	391470	0	1653	12133	8210	291098	5805	5810	279469
BFS/TD	Branch-avoiding	60	1039652	1783325	3349195	389096	0	1458	12669	8728	285769	5712	5712	274336
BFS/TD	Branch-avoiding	61	1063654	1808359	3393300	393553	41	3149	11448	7962	289526	5782	5782	277953
BFS/TD	Branch-avoiding	62	1104255	1879224	3553707	407301	0	2606	11716	8113	303221	6062	6062	291087
BFS/TD	Branch-avoiding	63	1158635	1962574	3686003	436219	0	2712	13458	9109	314506	6282	6286	301925
BFS/TD	Branch-avoiding	64	1216312	2081192	3861241	467415	0	190	13600	10175	329444	6574	6573	316289
BFS/TD	Branch-avoiding	65	1270482	2170375	4032894	485368	0	596	13567	9826	344125	6886	6895	330325
BFS/TD	Branch-avoiding	66	1325611	2240422	4184811	502297	0	170	14479	10815	357086	7146	7154	342769
BFS/TD	Branch-avoiding	67	1332353	2272013	4255393	502022	0	868	14102	10570	363123	7271	7287	348540
BFS/TD	Branch-avoiding	68	1353267	2320752	4329660	503086	0	3289	14399	10891	369468	7373	7420	354618
BFS/TD	Branch-avoiding	69	1362238	2301223	4286041	521183	0	775	14824	11585	365726	7321	7329	351059
BFS/TD	Branch-avoiding	70	1312512	2249997	4175703	510616	45	213	14564	11031	356327	7148	7154	342010
BFS/TD	Branch-avoiding	71	1279210	2183652	4059232	497051	0	2427	14219	10435	346426	6937	6986	332444
BFS/TD	Branch-avoiding	72	1238856	2097323	3907311	478380	0	536	14268	10510	333471	6713	6734	319994
BFS/TD	Branch-avoiding	73	1210748	2074415	3879997	457175	13	320	13284	9617	331056	6605	6615	317817
BFS/TD	Branch-avoiding	74	1216752	2081654	3863792	468662	0	1138	13801	9996	329731	6624	6636	316449
BFS/TD	Branch-avoiding	75	1196239	2038867	3828545	455303	23	2580	13223	9279	326703	6537	6559	313576
BFS/TD	Branch-avoiding	76	1194601	2002116	3764263	436353	0	1442	13675	9190	321191	6413	6426	308330
BFS/TD	Branch-avoiding	77	1184591	2022778	3779488	439125	0	592	13189	9103	322575	6511	6524	309517
BFS/TD	Branch-avoiding	78	1143419	1938251	3652193	416181	1	2123	12757	8309	311615	6220	6223	299160
BFS/TD	Branch-avoiding	79	1159127	1947933	3676585	424707	0	2423	12514	8775	313762	6281	6321	301111
BFS/TD	Branch-avoiding	80	1159474	1984507	3724157	433397	0	405	12667	9368	317759	6343	6349	305052
BFS/TD	Branch-avoiding	81	1229620	2075080	3919184	450252	0	189	12987	9367	334445	6703	6720	320995
BFS/TD	Branch-avoiding	82	1280752	2165731	4059319	483946	44	502	14468	10553	346367	6898	6930	332498
BFS/TD	Branch-avoiding	83	1314111	2259169	4223831	498919	0	1100	13778	10361	360501	7261	7294	345904
BFS/TD	Branch-avoiding	84	1303898	2214945	4118134	505417	0	646	14150	10949	351359	6979	7007	337335
BFS/TD	Branch-avoiding	85	1377030	2332757	4348667	528882	0	1532	14542	11070	371051	7407	7420	356202
BFS/TD	Branch-avoiding	86	1421012	2436948	4538671	552981	0	1510	15616	11666	387342	7796	7812	371709
BFS/TD	Branch-avoiding	87	1453648	2513865	4563648	562545	0	650	15122	12352	389408	7718	7798	373802
BFS/TD	Branch-avoiding	88	1489040	2532134	4667167	590283	0	680	16330	12653	398393	8027	8106	382172
